curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2017-18,Poco densa,Toledo,9.963744075829384,5.499,13.695,8.7265,10.011,11.304
2017-18,Poco densa,León,10.72851851851852,6.665,13.7,9.313,10.572,12.4495
2017-18,Poco densa,Cádiz,10.824277777777777,6.819,13.123,9.47625,11.056000000000001,12.58625
2017-18,Poco densa,Las Palmas,11.265313131313132,5.996,14.0,10.108,11.088,12.679
2017-18,Poco densa,Guadalajara,9.58904918032787,5.306,13.118,8.839,9.479,11.072
2017-18,Poco densa,Baleares,10.11591304347826,5.546,13.81,9.271,10.15,10.539
2017-18,Poco densa,Ciudad Real,10.644037974683545,5.128,13.628,9.19975,10.9695,12.257
2017-18,Poco densa,Pontevedra,10.22175,6.5,13.374,8.822,10.427,12.09
2017-18,Poco densa,Álava,10.561,10.466,10.78,10.466,10.498999999999999,10.594
2017-18,Poco densa,Segovia,10.607,6.4,13.36,8.79375,11.0095,12.1835
2017-18,Poco densa,Albacete,10.481416666666666,6.906,13.019,9.32825,10.73,11.883750000000001
2017-18,Poco densa,Santa Cruz de Tenerife,11.273786885245903,7.437,13.593,10.548,11.679,12.473
2017-18,Poco densa,Murcia,10.865411764705883,6.583,13.276,8.869,11.472,12.663
2017-18,Poco densa,Valladolid,8.232411764705882,5.24,12.474,5.869,8.518,9.85
2017-18,Poco densa,Cantabria,10.85396551724138,6.125,13.738,10.097,11.085,12.126
2017-18,Poco densa,La Rioja,10.121979166666668,5.75,13.331,9.068249999999999,10.3655,11.50625
2017-18,Poco densa,Huelva,11.236,6.378,13.456,10.565,11.493,12.6
2017-18,Poco densa,Ávila,9.756050847457626,5.93,12.825,8.7895,9.932,11.0745
2017-18,Poco densa,Gipuzkoa,9.659233333333333,6.46,13.318,8.2305,9.221,11.793000000000001
2017-18,Poco densa,Málaga,11.747076923076921,7.225,12.985,11.04,12.805,12.94
2017-18,Poco densa,Cáceres,10.714065789473684,5.414,13.778,9.501000000000001,10.783,12.474
2017-18,Poco densa,Soria,10.049666666666667,5.954,11.903,9.6545,10.161,11.67
2017-18,Poco densa,Jaén,10.591037735849058,5.682,13.615,9.33,10.575,12.315
2017-18,Poco densa,Huesca,11.1006,8.401,13.575,9.8195,11.204,12.1265
2017-18,Poco densa,Castellón,10.487777777777778,7.526,13.065,8.708,11.344,11.548
2017-18,Poco densa,Alicante,10.895576271186442,6.268,13.28,10.178,11.01,12.2375
2017-18,Poco densa,Ceuta,,,,,,
2017-18,Poco densa,Palencia,11.845454545454546,9.419,13.045,11.097000000000001,12.067,13.024
2017-18,Poco densa,Badajoz,10.624745762711864,5.154,13.864,9.218,10.694,12.113
2017-18,Poco densa,Asturias,11.512307692307692,8.846,12.872,10.316,12.414,12.464
2017-18,Poco densa,Orense,11.354,6.57,13.54,9.424,12.9,13.54
2017-18,Poco densa,Granada,11.23134375,7.012,13.58,10.16,11.175,12.75825
2017-18,Poco densa,Lugo,10.722999999999999,6.596,13.56,9.739,11.05,11.86
2017-18,Poco densa,Bizkaia,11.09425,8.444,13.3,9.8955,10.992,12.9
2017-18,Poco densa,Almería,11.406828571428573,6.269,13.47,10.705,11.75,12.731
2017-18,Poco densa,Valencia,10.373259259259259,5.719,13.238,8.422999999999998,10.678,12.702
2017-18,Poco densa,Melilla,,,,,,
2017-18,Poco densa,Cuenca,10.15629411764706,5.62,13.493,8.917,10.367,11.576
2017-18,Poco densa,La Coruña,11.482083333333334,8.65,13.27,10.321250000000001,11.969999999999999,13.166
2017-18,Poco densa,Navarra,10.219135135135135,5.689,13.03,8.421,10.69,11.589
2017-18,Poco densa,Sevilla,11.316095238095238,5.351,13.85,10.265,11.605,13.07
2017-18,Poco densa,Barcelona,8.221,5.782,12.13,6.9025,8.051,8.607
2017-18,Poco densa,Tarragona,,,,,,
2017-18,Poco densa,Zamora,11.180666666666667,7.114,13.526,10.6235,11.252,12.9575
2017-18,Poco densa,Lérida,5.865,5.81,5.92,5.8374999999999995,5.865,5.8925
2017-18,Poco densa,Teruel,9.754,9.754,9.754,9.754,9.754,9.754
2017-18,Poco densa,Gerona,8.662,8.226,8.94,8.523,8.82,8.879999999999999
2017-18,Poco densa,Global,9.91996640755136,5.018,14.0,8.445250000000001,9.996,11.49025
2017-18,Muy poco densa,Córdoba,,,,,,
2017-18,Muy poco densa,Madrid,9.606077777777777,5.604,13.248,8.284749999999999,9.475999999999999,10.75375
2017-18,Muy poco densa,Salamanca,,,,,,
2017-18,Muy poco densa,Zaragoza,10.636,8.358,12.491,9.7045,10.806,11.694
2017-18,Muy poco densa,Burgos,10.144222222222222,7.887,12.588,8.861,10.883,10.988
2017-18,Muy poco densa,Toledo,9.459356382978722,5.007,13.471,7.808,9.205,11.18475
2017-18,Muy poco densa,León,9.018166666666668,6.647,13.132,6.954750000000001,8.384,10.40875
2017-18,Muy poco densa,Cádiz,,,,,,
2017-18,Muy poco densa,Las Palmas,10.80775,7.89,13.739,9.44525,10.813,11.801
2017-18,Muy poco densa,Guadalajara,9.061642857142857,5.47,12.457,7.8,9.183,10.2515
2017-18,Muy poco densa,Baleares,,,,,,
2017-18,Muy poco densa,Ciudad Real,10.346777777777778,6.0,13.517,8.681,10.081,12.724
2017-18,Muy poco densa,Pontevedra,10.16,10.16,10.16,10.16,10.16,10.16
2017-18,Muy poco densa,Álava,10.7795,9.049,13.012,9.71,10.654,11.598
2017-18,Muy poco densa,Segovia,9.888694444444445,6.07,13.06,8.58,9.915,10.989999999999998
2017-18,Muy poco densa,Albacete,10.053833333333333,5.8,13.14,8.18825,10.4605,11.917
2017-18,Muy poco densa,Santa Cruz de Tenerife,10.817499999999999,8.246,13.275,9.76675,10.826,11.634
2017-18,Muy poco densa,Murcia,10.74,10.65,10.83,10.695,10.74,10.785
2017-18,Muy poco densa,Valladolid,8.308,6.12,10.123,7.187250000000001,8.4945,9.61525
2017-18,Muy poco densa,Cantabria,10.912857142857144,7.542,11.967,10.8885,11.621,11.7415
2017-18,Muy poco densa,La Rioja,8.1985,7.873,8.524,8.03575,8.1985,8.36125
2017-18,Muy poco densa,Huelva,6.4898,5.018,8.883,5.018,5.6,7.93
2017-18,Muy poco densa,Ávila,9.597515625,5.418,13.759,8.57875,9.39,10.71175
2017-18,Muy poco densa,Gipuzkoa,9.934333333333333,6.973,12.158,8.8225,10.672,11.415
2017-18,Muy poco densa,Málaga,9.9,9.9,9.9,9.9,9.9,9.9
2017-18,Muy poco densa,Cáceres,9.442658227848101,6.428,13.1,8.172,9.528,10.433
2017-18,Muy poco densa,Soria,9.758842105263158,6.738,12.079,9.475,9.833,10.4185
2017-18,Muy poco densa,Jaén,9.805777777777777,6.51,12.05,8.623,10.165,11.725
2017-18,Muy poco densa,Huesca,9.886333333333333,9.045,12.028,9.196,9.684,9.80375
2017-18,Muy poco densa,Castellón,,,,,,
2017-18,Muy poco densa,Alicante,9.854666666666667,8.044,10.76,9.402000000000001,10.76,10.76
2017-18,Muy poco densa,Ceuta,,,,,,
2017-18,Muy poco densa,Palencia,8.086333333333334,5.257,10.922,6.6685,8.08,9.501000000000001
2017-18,Muy poco densa,Badajoz,10.55181818181818,5.982,13.304,9.086,11.2,12.29
2017-18,Muy poco densa,Asturias,,,,,,
2017-18,Muy poco densa,Orense,,,,,,
2017-18,Muy poco densa,Granada,,,,,,
2017-18,Muy poco densa,Lugo,,,,,,
2017-18,Muy poco densa,Bizkaia,11.32725,7.24,13.52,10.632,11.6935,12.827
